Anno,Codice Regione,Codice Azienda,Codice struttura,Denominazione struttura,Partita IVA,Codice Comune,Indirizzo,CAP,Prefisso,Telefono,Prefisso fax,Numero fax,Sito web,E-mail,Tipo struttura,Tipo IRCCS/A.O. Univ. e Policlinico,Tipo casa di cura,Dipartimento emergenza,Centro trasfusionale,Servizio rianimazione,Diagnostica per immagini,Radioterapia,Oncologia medica,Servizio dialisi,Pronto soccorso,Sale operatorie,Posti camere iperbariche,Incubatrici,Ambulanze tipo A,Ambulanze tipo A con medico,Ambulanze tipo B,Ambulanze pediatriche,Ambulanze trasp. emergenza neonato,Unità mobili rianimazione,Anno apertura,Mese apertura,Giorno apertura,Anno chiusura,Mese chiusura,Giorno chiusura,Apparecchiature tecnico biomediche,Attività riabilitazione,Attività day surgery,Attività pediatrica,Culle,Data aggiornamento
2018,190,201,190301,P.O. S. GIOVANNI DI DIO,02570930848,084001,C/DA CONSOLIDA,92100,0922,442111,0922,591246,www.aspag.it,poagrigento.direttore@aspag.it,01,,,,X,X,X,X,X,X,X,5,0,17,0,0,2,0,0,1,2009,09,01,0000,00,00,X,,,,24,20180130
2018,190,201,190302,P.O. BARONE LOMBARDO - CANICATTI',02570930848,084011,CONTRADA GIARRE,92024,0922,733111,0922,733359,www.aspag.it,pocanicatti.direttore@aspag.it,01,,,1,X,X,X,,X,,X,2,0,1,0,0,0,0,0,3,2009,09,01,0000,00,00,X,,,,15,20180124
2018,190,201,190303,P.O. S. GIACOMO D'ALTOPASSO LICATA,02570930848,084021,C/DA CANNAVECCHIA,92027,0922,869111,,,www.aspag.it,policata.direttore@aspag.it,01,,,,,,X,,,,X,3,0,2,1,0,1,0,0,1,2009,09,01,0000,00,00,X,,,,5,20180130
2018,190,201,190304,P.O. F.LLI PARLAPIANO - RIBERA,02570930848,084033,VIA CIRCONVALLAZIONE,92016,0925,562111,0925,562309,www.aspag.it,poribera.direttore@aspag.it,01,,,,,,X,,,,X,2,0,0,0,0,1,0,0,1,2009,09,01,0000,00,00,X,,,,0,20180111
2018,190,201,190305,P.O. GIOVANNI PAOLO II,02570930848,084041,VIA POMPEI - C. DA SENIAZZA,92019,0925,962111,,,www.aspag.it,posciacca.direttore@aspag.it,01,,,,X,X,X,,X,X,X,6,5,3,1,0,2,0,0,0,2009,09,01,0000,00,00,X,,,,12,20180131
2018,190,201,190503,CASA DI SALUTE IGNAZIO ATTARDI S.P.A.,00213650849,084040,VIA NAZIONALE 16,92020,0922,989446,0922,989446,,clinicaattardi@tiscali.it,05,,1,,,,,,,,,2,0,2,0,0,0,0,0,0,1976,05,26,0000,00,00,X,,,,15,20180126
2018,190,201,190504,SIA CASA DI CURA S. ANNA S.P.A.,00137210845,084001,VIA PORTA AUREA,92100,0922,409111,0922,409310,,siaccsanna@libero.it,05,,1,,,,X,,,,,4,0,0,0,0,0,0,0,0,1981,01,01,0000,00,00,X,,,,0,20180125
2018,190,202,190306,P.O. Sant'Elia (ex AO),01825570854,085004,Via Luigi Russo n°6,93100,0934,559111,0934,559644,www.santelia.it,dirsan.posant'elia@asp.cl.it,01,,,2,X,X,X,,X,X,X,11,0,6,0,0,0,0,1,2,2009,09,01,0000,00,00,X,,,,6,20180104
2018,190,202,190307,P.O. M. IMMACOLATA LONGO,01825570854,085012,Via Dogliotti sn,93014,0934,962211,0934,962219,,dirsan.pomussomeli@asp.cl.it,01,,,,,X,X,,,X,X,2,0,0,2,0,0,0,0,1,2009,09,01,0000,00,00,X,,,,0,20180201
2018,190,202,190308,P.O.MADDALENA RAIMONDI,01825570854,085016,Via Forlanini 5,93017,0934,512229,0934,586042,,dirsan.posancataldo@asp.cl.it,01,,,,,,X,X,,,,0,0,0,0,0,0,0,0,0,2009,09,01,0000,00,00,X,,,,0,20180201
2018,190,202,190309,P.O. VITTORIO EMANUELE (ex AO),01825570854,085007,Via Palazzi 173,83012,0933,831111,0933,831465,www.ospedalegela.it,direttore.sil@ospedalegela.it,01,,,1,X,X,X,X,X,X,X,5,0,2,0,0,0,0,0,2,2009,09,01,0000,00,00,X,,,,12,20180201
2018,190,202,190310,P.O. SANTO STEFANO,01825570854,085009,Via Dante n°2,93013,0934,300211,0934,300288,,dirsan.pomazzarino@asp.cl.it,01,,,,,,X,,,,X,1,0,0,0,0,0,0,0,0,2009,09,01,0000,00,00,X,,,,0,20180201
2018,190,202,190311,P.O. SUOR CECILIA BASAROCCO,01825570854,085013,Piazza Martiri di Nassirya,93015,0933,880111,0933,880207,,dirsan.poniscemi@asp.cl.it,01,,,,,X,X,,,,X,1,0,0,1,0,1,0,0,0,2009,09,01,0000,00,00,X,,,,0,20180201
2018,190,202,190505,CASA DI CURA 'REGINA PACIS',00195960851,085016,VIA SCALEA 3/5,93017,0934,515201,0934,588748,,,05,,1,,,,X,,,,,3,0,0,0,0,0,0,0,0,1980,03,24,0000,00,00,X,,,,0,20180201
2018,190,202,190506,SO.GE.SA.SPA.C.DI.C.S.BARBARA,00514190826,085007,VIA MINERBIO 3,93012,0933,817111,0933,817211,www.casadicurasantabarbara.it,info@casadicurasantabarbara.it,05,,1,,,X,X,,,,,3,0,0,0,0,0,0,0,0,1976,11,05,0000,00,00,X,,,,0,20180201
2018,190,203,190312,P.O. S. Marta e S. Venera Acireale,04721260877,087004,Via Caronia s.n.,95024,095,7677111,095,7677001,,,01,,,,,X,X,,,X,X,8,0,3,1,0,0,0,0,1,2009,09,01,0000,00,00,X,,,,8,20180426
2018,190,203,190313,S.Giovanni Di Dio e S.Isidoro Giarre,03196850873,087017,Via Carlo Forlanini contrada Coste,95014,095,7782111,095,7794552,,,01,,,,,,,,,,,2,0,0,0,0,0,0,0,0,2009,09,01,0000,00,00,X,,,,0,20180130
2018,190,203,190314,P.O. Maria SS.Addolorata Biancavilla,04721260877,087008,Via Cristoforo Colombo 77,95033,095,7716006,095,688004,,,01,,,,,,X,,,,X,2,0,3,0,0,1,0,0,1,2009,09,01,0000,00,00,X,,,,12,20180116
2018,190,203,190315,P.O. Castiglione Prestianni Bronte,04721260877,087009,Via Umberto 406,95034,095,7746111,095,7722152,,,01,,,,,,X,,,,X,3,0,3,1,0,0,0,0,1,2009,09,01,0000,00,00,X,,,,5,20180213
2018,190,203,190316,P.O. SS. Salvatore Paternò,04721260877,087033,Via Livorno s.n.,95047,095,7975065,095,7975234,,osppaterno.direzionesanitaria2@ausl3.ct.it,01,,,,,,X,,,,X,3,0,0,0,0,0,0,0,0,2009,09,01,0000,00,00,X,,,,0,20180116
2018,190,203,190317,P.O. Gravina e S. Pietro Caltagirone,04721260877,087011,Via Portosalvo 2,95041,0933,39446,0933,39448,www.ospedalegravina.it,direzionesanitaria.caltagirone@aspct.it,01,,,,X,X,X,,X,X,X,4,0,5,2,0,0,0,0,1,2009,09,01,0000,00,00,X,,,,12,20180115
2018,190,203,190318,P.O. Basso Ragusa Militello,04721260877,087025,Viale Regina Margherita 25,95043,095,7943111,095,7943140,,,01,,,,,X,X,,,,X,1,0,0,1,0,0,0,0,0,2009,09,01,0000,00,00,X,,,,0,20180115
2018,190,203,190511,CASA DI CURA DI STEFANO VELONA S.R.L.,04547010878,087015,VIA S. EUPLIO 162,95124,095,446950,095,448148,www.distefanovelona.com,info@distefanovelona.com,05,,1,,,,X,,,,,3,0,0,0,0,0,0,0,0,1977,11,01,0000,00,00,X,,,,0,20180122
2018,190,203,190512,CASA DI CURA MADONNA DEL ROSARIO,00560610875,087015,VIA BRONTE 44,95125,095,434127,095,446930,,m.delrosario@tiscali.it,05,,1,,,,X,,,,,0,0,0,0,0,0,0,0,0,1969,03,01,0000,00,00,X,,,,0,20180122
2018,190,203,190513,CASA DI CURA G.B. MORGAGNI S.R.L.,00248620874,087015,VIA DEL BOSCO 105,95125,095,238235,095,238450,www.policlinicomorgagni.it,gbmorg@tin.it,05,,1,,,X,X,,X,,,7,0,0,1,0,0,0,0,0,1971,10,13,0000,00,00,X,,,,0,20180122
2018,190,203,190515,CASA DI CURA S. RITA SRL,01135180870,087015,VIA DOTT. CONSOLI 49,95124,095,320690,095,2180742,,accettazione@casadicurasrita.it,05,,1,,,,X,,,,,2,0,0,0,0,0,0,0,0,1981,01,01,2018,03,14,X,,,,0,20180410
2018,190,203,190516,MATER DEI DI G.NESI & C. S.P.A,01129240873,087015,VIALE MARIO RAPISARDI 1,95124,095,7389111,095,7313218,www.casadicuramaterdei.it,urp@casadicuramaterdei.it,05,,1,,,,X,,,,,3,0,0,0,0,0,0,0,0,1980,12,08,0000,00,00,X,,,,0,20180122
