"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4794512,"e","dato stimato"
"ITG11","Trapani","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",412976,"e","dato stimato"
"ITG12","Palermo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1198594,"e","dato stimato"
"ITG13","Messina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",598165,"e","dato stimato"
"ITG15","Caltanissetta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",246960,"e","dato stimato"
"ITG16","Enna","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",153589,"e","dato stimato"
"ITG17","Catania","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1071041,"e","dato stimato"
"ITG18","Ragusa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",319260,"e","dato stimato"
"081001","Alcamo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",44683,"e","dato stimato"
"083001","Alcara li Fusi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1655,"e","dato stimato"
"084002","Alessandria della Rocca","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2382,"e","dato stimato"
"083002","Alì","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",630,"e","dato stimato"
"083003","Alì Terme","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2315,"e","dato stimato"
"082001","Alia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3242,"e","dato stimato"
"082002","Alimena","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1789,"e","dato stimato"
"082003","Aliminusa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1021,"e","dato stimato"
"082004","Altavilla Milicia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",8818,"e","dato stimato"
"084003","Aragona","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",8725,"e","dato stimato"
"089002","Avola","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",30506,"e","dato stimato"
"082006","Bagheria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",53021,"e","dato stimato"
"ITG14","Agrigento","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",410323,"e","dato stimato"
"ITG19","Siracusa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",383604,"e","dato stimato"
"081021","Trapani","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",55218,"e","dato stimato"
"082053","Palermo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",628894,"e","dato stimato"
"083048","Messina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",217895,"e","dato stimato"
"084001","Agrigento","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",55317,"e","dato stimato"
"085004","Caltanissetta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",58342,"e","dato stimato"
"086009","Enna","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",25367,"e","dato stimato"
"087015","Catania","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",298209,"e","dato stimato"
"088009","Ragusa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",73684,"e","dato stimato"
"089017","Siracusa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",116051,"e","dato stimato"
"088001","Acate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",10458,"e","dato stimato"
"087001","Aci Bonaccorsi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3559,"e","dato stimato"
"087002","Aci Castello","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",17782,"e","dato stimato"
"087003","Aci Catena","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",27762,"e","dato stimato"
"087005","Aci Sant'Antonio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",18095,"e","dato stimato"
"087004","Acireale","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",50590,"e","dato stimato"
"085001","Acquaviva Platani","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",855,"e","dato stimato"
"083107","Acquedolci","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",5497,"e","dato stimato"
"087006","Adrano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",33720,"e","dato stimato"
"086001","Agira","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",7593,"e","dato stimato"
"086002","Aidone","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4185,"e","dato stimato"
