Anno,Codice Regione,Codice Azienda,Codice struttura,Tipo assistenza erogata,Descrizione tipo assistenza erogata,Denominazione struttura,Partita IVA,Indirizzo,Codice Comune,CAP,E-mail,Sito web,Prefisso,Telefono,Prefisso fax,Numero fax,Tipo struttura,Tipo struttura di ricovero,Codice struttura di ricovero,Denominazione struttura di ricovero,Mesi di funzionamento,Tipo rapporto con il S.S.N.,Titolare della convenzione,Presenza Apparecchiature,Anno apertura,Mese apertura,Anno chiusura,Mese chiusura,Giorni settimanali di apertura,Ore settimanali di apertura,Data aggiornamento
2018,190,201,400300,S01,ATTIVITA' CLINICA,ATTANASIO SALVATORE,00679990846,VIA TEN.COL. STUTO N. 12,084017,92026,amatoannamaria@libero.it,,0922,436872,0922,436872,AMBULATORIO E LABORATORIO,,,,12,2,1,N,1997,01,,,6,20,20180102
2018,190,201,400400,S03,ATTIVITA' DI LABORATORIO,CENTRO ANALISI CLINICO BIOLOGICHE CACCIATORE M & C S.N.C.,02080180843,VIA BARONE CELSA N.10/12,084001,92100,laboratoriocam@libero.it,,0922,605861,0922,605861,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,5,30,20180102
2018,190,201,400500,S01,ATTIVITA' CLINICA,CALCULLO CALOGERO,00715340840,VIA CALLICRATIDE N. 13,084001,92100,calogero.calcullo@ag.omceo.it,,0922,596611,0922,596611,AMBULATORIO E LABORATORIO,,,,12,2,1,S,1997,01,,,5,30,20180102
2018,190,201,400700,S01,ATTIVITA' CLINICA,STUD. NEUR. DR.SSA CANDIDO TERESA & C.S.A.S.,02245110842,VIA IMERA N. 82,084001,92100,titacandido@hotmail.it,,0922,596886,0922,30026,AMBULATORIO E LABORATORIO,,,,12,2,2,N,1997,01,,,5,30,20180102
2018,190,201,400900,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,SIA CASA DI CURA S.ANNA S.P.A.,00137210845,VIA PORTA AUREA,084001,92100,siaccsanna@libero.it,,0922,409111,0922,409310,AMBULATORIO E LABORATORIO,05,190504,SIA CASA DI CURA S. ANNA S.P.A.,12,2,3,S,1981,01,,,6,36,20180102
2018,190,201,401000,S01,ATTIVITA' CLINICA,CENTRO ODONTOSTOMATOLOGICO CASTELLINO S.R.L.,02197530849,VIA GUSTAVO CHIESI N. 15,084001,92100,studio.castellino@libero.it,,0922,606961,,,AMBULATORIO E LABORATORIO,,,,12,2,2,N,1997,01,,,5,33,20180102
2018,190,201,401100,S03,ATTIVITA' DI LABORATORIO,LABORATORIO ANALISI CLINICHE GREEN S.R.L.,02339460848,VIA IMERA N. 222,084001,92100,laboratoriogreen@gmail.com,,0922,595288,0922,595288,AMBULATORIO E LABORATORIO,,,,12,2,2,S,1997,01,,,6,30,20180102
2018,190,201,401300,S01,ATTIVITA' CLINICA,CAVALLERO VALERIA,01444770844,VIA GIOENI N. 43,084001,92100,cavallerovaleria58@gmail.com,,0922,29779,,,AMBULATORIO E LABORATORIO,,,,12,2,1,S,1997,01,,,5,20,20180119
2018,190,201,401500,S01,ATTIVITA' CLINICA,CENTRO EMODIALISI AURORA S.R.L.,00233100841,VIA PIER SANTI MATTARELLA N. 89,084001,92100,TRUPIAAU@ALICE.IT,,0922,602555,0922,610926,ALTRO TIPO DI STRUTTURA TERRITORIALE,,,,12,2,2,S,1997,01,,,6,48,20180102
2018,190,201,401600,S01,ATTIVITA' CLINICA,STUDIO FISIOKINESITERAPICO DA.MA.SCO. S.A.S. DI DANILE ANTONELLA,00309410843,VIA F.CRISPI N. 132/140,084001,92100,STUDIODAMASCO@LIBERO.IT,,0922,21132,0922,21132,AMBULATORIO E LABORATORIO,,,,12,2,2,N,1997,01,,,5,40,20180102
