CODICE COMUNE ISTAT,DENOMINAZIONE COMUNE,ANNO,VALORE
081001,Alcamo,2024,44683
083001,Alcara li Fusi,2024,1655
084002,Alessandria della Rocca,2024,2382
083002,Alì,2024,630
083003,Alì Terme,2024,2315
082001,Alia,2024,3242
082002,Alimena,2024,1789
082003,Aliminusa,2024,1021
082004,Altavilla Milicia,2024,8818
084003,Aragona,2024,8725
089002,Avola,2024,30506
082006,Bagheria,2024,53021
081021,Trapani,2024,55218
082053,Palermo,2024,628894
083048,Messina,2024,217895
084001,Agrigento,2024,55317
085004,Caltanissetta,2024,58342
086009,Enna,2024,25367
087015,Catania,2024,298209
088009,Ragusa,2024,73684
089017,Siracusa,2024,116051
088001,Acate,2024,10458
087001,Aci Bonaccorsi,2024,3559
087002,Aci Castello,2024,17782
087003,Aci Catena,2024,27762
087005,Aci Sant'Antonio,2024,18095
087004,Acireale,2024,50590
085001,Acquaviva Platani,2024,855
083107,Acquedolci,2024,5497
087006,Adrano,2024,33720
086001,Agira,2024,7593
086002,Aidone,2024,4185
082005,Altofonte,2024,9817
083004,Antillo,2024,795
086003,Assoro,2024,4772
089001,Augusta,2024,34618
082007,Balestrate,2024,6257
083005,Barcellona Pozzo di Gotto,2024,39878
086004,Barrafranca,2024,11617
083006,Basicò,2024,634
087008,Biancavilla,2024,22929
082010,Bisacquino,2024,4059
084004,Bivona,2024,3129
082082,Blufi,2024,862
082011,Bolognetta,2024,4115
085002,Bompensiere,2024,479
082012,Bompietro,2024,1153
082013,Borgetto,2024,7120
083007,Brolo,2024,5739
087009,Bronte,2024,18198
089003,Buccheri,2024,1725
084005,Burgio,2024,2480
089004,Buscemi,2024,949
081002,Buseto Palizzolo,2024,2758
085003,Butera,2024,4123
082014,Caccamo,2024,7612
084009,Cammarata,2024,5837
084010,Campobello di Licata,2024,9022
081004,Campobello di Mazara,2024,11340
082016,Campofelice di Fitalia,2024,436
082017,Campofelice di Roccella,2024,7744
082018,Campofiorito,2024,1131
085005,Campofranco,2024,2596
082019,Camporeale,2024,2931
087012,Camporotondo Etneo,2024,5176
084011,Canicattì,2024,34447
089005,Canicattini Bagni,2024,6488
082020,Capaci,2024,11348
083008,Capizzi,2024,2815
083009,Capo d'Orlando,2024,13105
083010,Capri Leone,2024,4362
082023,Casteldaccia,2024,11652
082008,Baucina,2024,1849
082009,Belmonte Mezzagno,2024,10813
087007,Belpasso,2024,28133
084006,Calamonaci,2024,1145
086005,Calascibetta,2024,4031
087010,Calatabiano,2024,5119
081003,Calatafimi-Segesta,2024,6056
084007,Caltabellotta,2024,3148
087011,Caltagirone,2024,35628
082015,Caltavuturo,2024,3437
084008,Camastra,2024,1992
082021,Carini,2024,40150
089006,Carlentini,2024,17029
083011,Caronia,2024,3003
083012,Casalvecchio Siculo,2024,714
089007,Cassaro,2024,719
087013,Castel di Iudica,2024,4259
083013,Castel di Lucio,2024,1325
082022,Castelbuono,2024,8016
081005,Castellammare del Golfo,2024,14660
082024,Castellana Sicula,2024,2973
083014,Castell'Umberto,2024,2817
083015,Castelmola,2024,1068
084012,Casteltermini,2024,7212
081006,Castelvetrano,2024,29249
087014,Castiglione di Sicilia,2024,2886
084013,Castrofilippo,2024,2593
082025,Castronovo di Sicilia,2024,2786
083016,Castroreale,2024,2264
086006,Catenanuova,2024,4452
084014,Cattolica Eraclea,2024,3249
086007,Centuripe,2024,5016
086008,Cerami,2024,1850
082028,Cerda,2024,4881
083017,Cesarò,2024,2114
088003,Comiso,2024,30092
084016,Comitini,2024,846
083018,Condrò,2024,479
082033,Contessa Entellina,2024,1472
082034,Corleone,2024,10276
081008,Erice,2024,26002
082035,Ficarazzi,2024,12827
082026,Cefalà Diana,2024,976
082027,Cefalù,2024,13861
088002,Chiaramonte Gulfi,2024,8019
082029,Chiusa Sclafani,2024,2472
084015,Cianciana,2024,3040
082030,Ciminna,2024,3353
082031,Cinisi,2024,11922
081007,Custonaci,2024,5268
085006,Delia,2024,3864
083019,Falcone,2024,2819
084017,Favara,2024,31451
081009,Favignana,2024,4513
089008,Ferla,2024,2259
083020,Ficarra,2024,1288
083021,Fiumedinisi,2024,1337
087016,Fiumefreddo di Sicilia,2024,9032
083022,Floresta,2024,475
089009,Floridia,2024,21243
083023,Fondachelli-Fantina,2024,1097
083025,Francavilla di Sicilia,2024,3523
089010,Francofonte,2024,11676
083026,Frazzanò,2024,562
083027,Furci Siculo,2024,3203
083028,Furnari,2024,4180
083029,Gaggi,2024,3082
