REGIONE,CODICE REGIONE,PROVINCIA,CODICE AZIENDA,CODICE STRUTTURA DI RICOVERO,DENOMINAZIONE STRUTTURA,DENOMINAZIONE COMUNE,PARTITA IVA,CODICE COMUNE ISTAT,INDIRIZZO,CAP,TELEFONO,NUMERO FAX,SITO WEB,E-MAIL,TIPO STRUTTURA,TIPO IRCCS/A.O. UNIV. E POLICLINICO,TIPO CASA DI CURA,DIPARTIMENTO EMERGENZA,CENTRO TRASFUSIONALE,SERVIZIO RIANIMAZIONE,DIAGNOSTICA PER IMMAGINI,RADIOTERAPIA,ONCOLOGIA MEDICA,SERVIZIO DIALISI,PRONTO SOCCORSO,SALE OPERATORIE,POSTI CAMERE IPERBARICHE,INCUBATRICI,AMBULANZE TIPO A,AMBULANZE TIPO A CON MEDICO,AMBULANZE TIPO B,AMBULANZE PEDIATRICHE,AMBULANZE TRASP. EMERGENZA NEONATO,UNITÀ MOBILI RIANIMAZIONE,ANNO APERTURA,PRESENZA APPARECCHIATURE,ATTIVITÀ RIABILITAZIONE,CULLE,DATA AGGIORNAMENTO
Sicilia,190,Agrigento,201,190301,P.O. S. GIOVANNI DI DIO,Agrigento,02570930848,084001,C/DA CONSOLIDA,92100,0922442111,0922591246,www.aspag.it,poagrigento.direttore@aspag.it,01,0,0,0,X,X,X,X,X,X,X,5,0,17,0,0,2,0,0,1,0,X,-,24,2018-01-30
Sicilia,190,Agrigento,201,190302,P.O. BARONE LOMBARDO - CANICATTI',Canicattì,02570930848,084011,CONTRADA GIARRE,92024,0922733111,0922733359,www.aspag.it,pocanicatti.direttore@aspag.it,01,0,0,1,X,X,X,-,X,-,X,2,0,1,0,0,0,0,0,3,0,X,-,15,2018-01-24
Sicilia,190,Agrigento,201,190303,P.O. S. GIACOMO D'ALTOPASSO LICATA,Licata,02570930848,084021,C/DA CANNAVECCHIA,92027,0922869111,0,www.aspag.it,policata.direttore@aspag.it,01,0,0,0,-,-,X,-,-,-,X,3,0,2,1,0,1,0,0,1,0,X,-,5,2018-01-30
Sicilia,190,Agrigento,201,190304,P.O. F.LLI PARLAPIANO - RIBERA,Ribera,02570930848,084033,VIA CIRCONVALLAZIONE,92016,0925562111,0925562309,www.aspag.it,poribera.direttore@aspag.it,01,0,0,0,-,-,X,-,-,-,X,2,0,0,0,0,1,0,0,1,0,X,-,0,2018-01-11
Sicilia,190,Agrigento,201,190305,P.O. GIOVANNI PAOLO II,Sciacca,02570930848,084041,VIA POMPEI - C. DA SENIAZZA,92019,0925962111,0,www.aspag.it,posciacca.direttore@aspag.it,01,0,0,0,X,X,X,-,X,X,X,6,5,3,1,0,2,0,0,0,0,X,-,12,2018-01-31
Sicilia,190,Agrigento,201,190503,CASA DI SALUTE IGNAZIO ATTARDI S.P.A.,Santo Stefano Quisquina,00213650849,084040,VIA NAZIONALE 16,92020,0922989446,0922989446,-,clinicaattardi@tiscali.it,05,0,1,0,-,-,-,-,-,-,-,2,0,2,0,0,0,0,0,0,1976,X,-,15,2018-01-26
Sicilia,190,Agrigento,201,190504,SIA CASA DI CURA S. ANNA S.P.A.,Agrigento,00137210845,084001,VIA PORTA AUREA,92100,0922409111,0922409310,-,siaccsanna@libero.it,05,0,1,0,-,-,X,-,-,-,-,4,0,0,0,0,0,0,0,0,1981,X,-,0,2018-01-25
Sicilia,190,Caltanissetta,202,190306,P.O. Sant'Elia (ex AO),Caltanissetta,01825570854,085004,Via Luigi Russo n°6,93100,0934559111,0934559644,www.santelia.it,dirsan.posant'elia@asp.cl.it,01,0,0,2,X,X,X,-,X,X,X,11,0,6,0,0,0,0,1,2,0,X,-,6,2018-01-04
Sicilia,190,Caltanissetta,202,190307,P.O. M. IMMACOLATA LONGO,Mussomeli,01825570854,085012,Via Dogliotti sn,93014,0934962211,0934962219,-,dirsan.pomussomeli@asp.cl.it,01,0,0,0,-,X,X,-,-,X,X,2,0,0,2,0,0,0,0,1,0,X,-,0,2018-02-01
Sicilia,190,Caltanissetta,202,190308,P.O.MADDALENA RAIMONDI,San Cataldo,01825570854,085016,Via Forlanini 5,93017,0934512229,0934586042,-,dirsan.posancataldo@asp.cl.it,01,0,0,0,-,-,X,X,-,-,-,0,0,0,0,0,0,0,0,0,0,X,-,0,2018-02-01
Sicilia,190,Caltanissetta,202,190309,P.O. VITTORIO EMANUELE (ex AO),Gela,01825570854,085007,Via Palazzi 173,83012,0933831111,0933831465,www.ospedalegela.it,direttore.sil@ospedalegela.it,01,0,0,1,X,X,X,X,X,X,X,5,0,2,0,0,0,0,0,2,0,X,-,12,2018-02-01
Sicilia,190,Caltanissetta,202,190310,P.O. SANTO STEFANO,Mazzarino,01825570854,085009,Via Dante n°2,93013,0934300211,0934300288,-,dirsan.pomazzarino@asp.cl.it,01,0,0,0,-,-,X,-,-,-,X,1,0,0,0,0,0,0,0,0,0,X,-,0,2018-02-01
Sicilia,190,Caltanissetta,202,190311,P.O. SUOR CECILIA BASAROCCO,Niscemi,01825570854,085013,Piazza Martiri di Nassirya,93015,0933880111,0933880207,-,dirsan.poniscemi@asp.cl.it,01,0,0,0,-,X,X,-,-,-,X,1,0,0,1,0,1,0,0,0,0,X,-,0,2018-02-01
Sicilia,190,Caltanissetta,202,190505,CASA DI CURA 'REGINA PACIS',San Cataldo,00195960851,085016,VIA SCALEA 3/5,93017,0934515201,0934588748,-,-,05,0,1,0,-,-,X,-,-,-,-,3,0,0,0,0,0,0,0,0,1980,X,-,0,2018-02-01
Sicilia,190,Caltanissetta,202,190506,SO.GE.SA.SPA.C.DI.C.S.BARBARA,Gela,00514190826,085007,VIA MINERBIO 3,93012,0933817111,0933817211,www.casadicurasantabarbara.it,info@casadicurasantabarbara.it,05,0,1,0,-,X,X,-,-,-,-,3,0,0,0,0,0,0,0,0,1976,X,-,0,2018-02-01
Sicilia,190,Catania,203,190312,P.O. S. Marta e S. Venera Acireale,Acireale,04721260877,087004,Via Caronia s.n.,95024,0957677111,0957677001,-,-,01,0,0,0,-,X,X,-,-,X,X,8,0,3,1,0,0,0,0,1,0,X,-,8,2018-04-26
Sicilia,190,Catania,203,190313,S.Giovanni Di Dio e S.Isidoro Giarre,Giarre,03196850873,087017,Via Carlo Forlanini contrada Coste,95014,0957782111,0957794552,-,-,01,0,0,0,-,-,-,-,-,-,-,2,0,0,0,0,0,0,0,0,0,X,-,0,2018-01-30
Sicilia,190,Catania,203,190314,P.O. Maria SS.Addolorata Biancavilla,Biancavilla,04721260877,087008,Via Cristoforo Colombo 77,95033,0957716006,095688004,-,-,01,0,0,0,-,-,X,-,-,-,X,2,0,3,0,0,1,0,0,1,0,X,-,12,2018-01-16
Sicilia,190,Catania,203,190315,P.O. Castiglione Prestianni Bronte,Bronte,04721260877,087009,Via Umberto 406,95034,0957746111,0957722152,-,-,01,0,0,0,-,-,X,-,-,-,X,3,0,3,1,0,0,0,0,1,0,X,-,5,2018-02-13
Sicilia,190,Catania,203,190316,P.O. SS. Salvatore Paternò,Paternò,04721260877,087033,Via Livorno s.n.,95047,0957975065,0957975234,-,osppaterno.direzionesanitaria2@ausl3.ct.it,01,0,0,0,-,-,X,-,-,-,X,3,0,0,0,0,0,0,0,0,0,X,-,0,2018-01-16
