CODICE REGIONE,CODICE COMUNE ISTAT,DENOMINAZIONE COMUNE,REGIONE,PROVINCIA,SIGLA AUTOMOBILISTICA,ANNO,POPOLAZIONE
190,081001,Alcamo,Sicilia,Trapani,TP,2024,44683
190,081002,Buseto Palizzolo,Sicilia,Trapani,TP,2024,2758
190,081003,Calatafimi-Segesta,Sicilia,Trapani,TP,2024,6056
190,081004,Campobello di Mazara,Sicilia,Trapani,TP,2024,11340
190,081005,Castellammare del Golfo,Sicilia,Trapani,TP,2024,14660
190,081006,Castelvetrano,Sicilia,Trapani,TP,2024,29249
190,081007,Custonaci,Sicilia,Trapani,TP,2024,5268
190,081008,Erice,Sicilia,Trapani,TP,2024,26002
190,081009,Favignana,Sicilia,Trapani,TP,2024,4513
190,081010,Gibellina,Sicilia,Trapani,TP,2024,3684
190,081011,Marsala,Sicilia,Trapani,TP,2024,79833
190,081012,Mazara del Vallo,Sicilia,Trapani,TP,2024,50117
190,081013,Paceco,Sicilia,Trapani,TP,2024,10676
190,081014,Pantelleria,Sicilia,Trapani,TP,2024,7282
190,081015,Partanna,Sicilia,Trapani,TP,2024,9822
190,081016,Poggioreale,Sicilia,Trapani,TP,2024,1291
190,081017,Salaparuta,Sicilia,Trapani,TP,2024,1547
190,081018,Salemi,Sicilia,Trapani,TP,2024,9974
190,081019,Santa Ninfa,Sicilia,Trapani,TP,2024,4728
190,081020,San Vito Lo Capo,Sicilia,Trapani,TP,2024,4801
190,081021,Trapani,Sicilia,Trapani,TP,2024,55218
190,081022,Valderice,Sicilia,Trapani,TP,2024,11389
190,081023,Vita,Sicilia,Trapani,TP,2024,1761
190,081024,Petrosino,Sicilia,Trapani,TP,2024,7907
190,081025,Misiliscemi,Sicilia,Trapani,TP,2024,8417
190,082001,Alia,Sicilia,Palermo,PA,2024,3242
190,082002,Alimena,Sicilia,Palermo,PA,2024,1789
190,082003,Aliminusa,Sicilia,Palermo,PA,2024,1021
190,082004,Altavilla Milicia,Sicilia,Palermo,PA,2024,8818
190,082005,Altofonte,Sicilia,Palermo,PA,2024,9817
190,082006,Bagheria,Sicilia,Palermo,PA,2024,53021
190,082007,Balestrate,Sicilia,Palermo,PA,2024,6257
190,082008,Baucina,Sicilia,Palermo,PA,2024,1849
190,082009,Belmonte Mezzagno,Sicilia,Palermo,PA,2024,10813
190,082010,Bisacquino,Sicilia,Palermo,PA,2024,4059
190,082011,Bolognetta,Sicilia,Palermo,PA,2024,4115
190,082012,Bompietro,Sicilia,Palermo,PA,2024,1153
190,082013,Borgetto,Sicilia,Palermo,PA,2024,7120
190,082014,Caccamo,Sicilia,Palermo,PA,2024,7612
190,082015,Caltavuturo,Sicilia,Palermo,PA,2024,3437
190,082016,Campofelice di Fitalia,Sicilia,Palermo,PA,2024,436
190,082017,Campofelice di Roccella,Sicilia,Palermo,PA,2024,7744
190,082018,Campofiorito,Sicilia,Palermo,PA,2024,1131
190,082019,Camporeale,Sicilia,Palermo,PA,2024,2931
190,082020,Capaci,Sicilia,Palermo,PA,2024,11348
190,082021,Carini,Sicilia,Palermo,PA,2024,40150
190,082022,Castelbuono,Sicilia,Palermo,PA,2024,8016
190,082023,Casteldaccia,Sicilia,Palermo,PA,2024,11652
190,082024,Castellana Sicula,Sicilia,Palermo,PA,2024,2973
190,082025,Castronovo di Sicilia,Sicilia,Palermo,PA,2024,2786
190,082026,Cefalà Diana,Sicilia,Palermo,PA,2024,976
190,082027,Cefalù,Sicilia,Palermo,PA,2024,13861
190,082028,Cerda,Sicilia,Palermo,PA,2024,4881
190,082029,Chiusa Sclafani,Sicilia,Palermo,PA,2024,2472
190,082030,Ciminna,Sicilia,Palermo,PA,2024,3353
190,082031,Cinisi,Sicilia,Palermo,PA,2024,11922
190,082032,Collesano,Sicilia,Palermo,PA,2024,3616
190,082033,Contessa Entellina,Sicilia,Palermo,PA,2024,1472
190,082034,Corleone,Sicilia,Palermo,PA,2024,10276
190,082035,Ficarazzi,Sicilia,Palermo,PA,2024,12827
190,082036,Gangi,Sicilia,Palermo,PA,2024,6013
190,082037,Geraci Siculo,Sicilia,Palermo,PA,2024,1697
190,082038,Giardinello,Sicilia,Palermo,PA,2024,2241
190,082039,Giuliana,Sicilia,Palermo,PA,2024,1672
190,082040,Godrano,Sicilia,Palermo,PA,2024,1019
190,082041,Gratteri,Sicilia,Palermo,PA,2024,850
190,082042,Isnello,Sicilia,Palermo,PA,2024,1285
190,082043,Isola delle Femmine,Sicilia,Palermo,PA,2024,7039
190,082044,Lascari,Sicilia,Palermo,PA,2024,3703
190,082045,Lercara Friddi,Sicilia,Palermo,PA,2024,6113
190,082046,Marineo,Sicilia,Palermo,PA,2024,6063
190,082047,Mezzojuso,Sicilia,Palermo,PA,2024,2578
190,082048,Misilmeri,Sicilia,Palermo,PA,2024,28948
190,082049,Monreale,Sicilia,Palermo,PA,2024,38776
190,082050,Montelepre,Sicilia,Palermo,PA,2024,5713
190,082051,Montemaggiore Belsito,Sicilia,Palermo,PA,2024,2895
190,082052,Palazzo Adriano,Sicilia,Palermo,PA,2024,1763
190,082053,Palermo,Sicilia,Palermo,PA,2024,628894
190,082054,Partinico,Sicilia,Palermo,PA,2024,30746
190,082055,Petralia Soprana,Sicilia,Palermo,PA,2024,2908
190,082056,Petralia Sottana,Sicilia,Palermo,PA,2024,2415
190,082057,Piana degli Albanesi,Sicilia,Palermo,PA,2024,5451
190,082058,Polizzi Generosa,Sicilia,Palermo,PA,2024,2851
190,082059,Pollina,Sicilia,Palermo,PA,2024,2822
190,082060,Prizzi,Sicilia,Palermo,PA,2024,4083
190,082061,Roccamena,Sicilia,Palermo,PA,2024,1314
190,082062,Roccapalumba,Sicilia,Palermo,PA,2024,2131
190,082063,San Cipirello,Sicilia,Palermo,PA,2024,4884
190,082064,San Giuseppe Jato,Sicilia,Palermo,PA,2024,8019
190,082065,San Mauro Castelverde,Sicilia,Palermo,PA,2024,1316
190,082066,Santa Cristina Gela,Sicilia,Palermo,PA,2024,993
190,082067,Santa Flavia,Sicilia,Palermo,PA,2024,11035
190,082068,Sciara,Sicilia,Palermo,PA,2024,2485
190,082069,Sclafani Bagni,Sicilia,Palermo,PA,2024,369
190,082070,Termini Imerese,Sicilia,Palermo,PA,2024,24836
190,082071,Terrasini,Sicilia,Palermo,PA,2024,12961
190,082072,Torretta,Sicilia,Palermo,PA,2024,4367
190,082073,Trabia,Sicilia,Palermo,PA,2024,10616
190,082074,Trappeto,Sicilia,Palermo,PA,2024,3091
190,082075,Ustica,Sicilia,Palermo,PA,2024,1310
190,082076,Valledolmo,Sicilia,Palermo,PA,2024,3115
190,082077,Ventimiglia di Sicilia,Sicilia,Palermo,PA,2024,1775
190,082078,Vicari,Sicilia,Palermo,PA,2024,2390
190,082079,Villabate,Sicilia,Palermo,PA,2024,19550
190,082080,Villafrati,Sicilia,Palermo,PA,2024,3104
190,082081,Scillato,Sicilia,Palermo,PA,2024,587
190,082082,Blufi,Sicilia,Palermo,PA,2024,862
190,083001,Alcara li Fusi,Sicilia,Messina,ME,2024,1655
190,083002,Alì,Sicilia,Messina,ME,2024,630
190,083003,Alì Terme,Sicilia,Messina,ME,2024,2315
190,083004,Antillo,Sicilia,Messina,ME,2024,795
190,083005,Barcellona Pozzo di Gotto,Sicilia,Messina,ME,2024,39878
190,083006,Basicò,Sicilia,Messina,ME,2024,634
190,083007,Brolo,Sicilia,Messina,ME,2024,5739
190,083008,Capizzi,Sicilia,Messina,ME,2024,2815
190,083009,Capo d'Orlando,Sicilia,Messina,ME,2024,13105
190,083010,Capri Leone,Sicilia,Messina,ME,2024,4362
190,083011,Caronia,Sicilia,Messina,ME,2024,3003
190,083012,Casalvecchio Siculo,Sicilia,Messina,ME,2024,714
190,083013,Castel di Lucio,Sicilia,Messina,ME,2024,1325
190,083014,Castell'Umberto,Sicilia,Messina,ME,2024,2817
190,083015,Castelmola,Sicilia,Messina,ME,2024,1068
190,083016,Castroreale,Sicilia,Messina,ME,2024,2264
190,083017,Cesarò,Sicilia,Messina,ME,2024,2114
190,083018,Condrò,Sicilia,Messina,ME,2024,479
190,083019,Falcone,Sicilia,Messina,ME,2024,2819
190,083020,Ficarra,Sicilia,Messina,ME,2024,1288
190,083021,Fiumedinisi,Sicilia,Messina,ME,2024,1337
190,083022,Floresta,Sicilia,Messina,ME,2024,475
