CODICE REGIONE,REGIONE,PROVINCIA,CODICE AZIENDA,CODICE STRUTTURA,TIPO ASSISTENZA EROGATA,DESCRIZIONE TIPO ASSISTENZA EROGATA,DENOMINAZIONE STRUTTURA,PARTITA IVA,INDIRIZZO,DENOMINAZIONE COMUNE,CODICE COMUNE ISTAT,CAP,E-MAIL,SITO WEB,TELEFONO,NUMERO FAX,TIPO STRUTTURA,TIPO STRUTTURA DI RICOVERO,CODICE STRUTTURA DI RICOVERO,DENOMINAZIONE STRUTTURA DI RICOVERO,TIPO RAPPORTO CON IL S.S.N.,PRESENZA APPARECCHIATURE,ANNO APERTURA,ANNO CHIUSURA,DATA AGGIORNAMENTO
190,Sicilia,Agrigento,201,400300,S01,ATTIVITA' CLINICA,ATTANASIO SALVATORE,00679990846,VIA TEN.COL. STUTO N. 12,Favara,084017,92026,amatoannamaria@libero.it,-,0922436872,0922436872,AMBULATORIO E LABORATORIO,0,0,-,2,N,1997,0,2018/01/02
190,Sicilia,Agrigento,201,400400,S03,ATTIVITA' DI LABORATORIO,CENTRO ANALISI CLINICO BIOLOGICHE CACCIATORE M & C S.N.C.,02080180843,VIA BARONE CELSA N.10/12,Agrigento,084001,92100,laboratoriocam@libero.it,-,0922605861,0922605861,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,400500,S01,ATTIVITA' CLINICA,CALCULLO CALOGERO,00715340840,VIA CALLICRATIDE N. 13,Agrigento,084001,92100,calogero.calcullo@ag.omceo.it,-,0922596611,0922596611,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,400700,S01,ATTIVITA' CLINICA,STUD. NEUR. DR.SSA CANDIDO TERESA & C.S.A.S.,02245110842,VIA IMERA N. 82,Agrigento,084001,92100,titacandido@hotmail.it,-,0922596886,092230026,AMBULATORIO E LABORATORIO,0,0,-,2,N,1997,0,2018/01/02
190,Sicilia,Agrigento,201,400900,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,SIA CASA DI CURA S.ANNA S.P.A.,00137210845,VIA PORTA AUREA,Agrigento,084001,92100,siaccsanna@libero.it,-,0922409111,0922409310,AMBULATORIO E LABORATORIO,05,190504,SIA CASA DI CURA S. ANNA S.P.A.,2,S,1981,0,2018/01/02
190,Sicilia,Agrigento,201,401000,S01,ATTIVITA' CLINICA,CENTRO ODONTOSTOMATOLOGICO CASTELLINO S.R.L.,02197530849,VIA GUSTAVO CHIESI N. 15,Agrigento,084001,92100,studio.castellino@libero.it,-,0922606961,0,AMBULATORIO E LABORATORIO,0,0,-,2,N,1997,0,2018/01/02
190,Sicilia,Agrigento,201,401100,S03,ATTIVITA' DI LABORATORIO,LABORATORIO ANALISI CLINICHE GREEN S.R.L.,02339460848,VIA IMERA N. 222,Agrigento,084001,92100,laboratoriogreen@gmail.com,-,0922595288,0922595288,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,401300,S01,ATTIVITA' CLINICA,CAVALLERO VALERIA,01444770844,VIA GIOENI N. 43,Agrigento,084001,92100,cavallerovaleria58@gmail.com,-,092229779,0,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/19
190,Sicilia,Agrigento,201,401500,S01,ATTIVITA' CLINICA,CENTRO EMODIALISI AURORA S.R.L.,00233100841,VIA PIER SANTI MATTARELLA N. 89,Agrigento,084001,92100,trupiaau@alice.it,-,0922602555,0922610926,ALTRO TIPO DI STRUTTURA TERRITORIALE,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,401600,S01,ATTIVITA' CLINICA,STUDIO FISIOKINESITERAPICO DA.MA.SCO. S.A.S. DI DANILE ANTONELLA,00309410843,VIA F.CRISPI N. 132/140,Agrigento,084001,92100,studiodamasco@libero.it,-,092221132,092221132,AMBULATORIO E LABORATORIO,0,0,-,2,N,1997,0,2018/01/02
190,Sicilia,Agrigento,201,401700,S01,ATTIVITA' CLINICA,CENTRO FISIOKINESITERAPIA ELIOS - SOC. COOPER. - A.R.L.,00590560843,VIA RAGAZZI DEL '99 N. 68/72,Agrigento,084001,92100,centromedicoelios@alice.it,-,0922595101,0922404092,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,401700,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,CENTRO FISIOKINESITERAPIA ELIOS - SOC. COOPER. - A.R.L.,00590560843,VIA RAGAZZI DEL '99 N. 68/72,Agrigento,084001,92100,centromedicoelios@alice.it,-,0922595101,0922404092,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,401700,S03,ATTIVITA' DI LABORATORIO,CENTRO FISIOKINESITERAPIA ELIOS - SOC. COOPER. - A.R.L.,00590560843,VIA RAGAZZI DEL '99 N. 68/72,Agrigento,084001,92100,centromedicoelios@alice.it,-,0922595101,0922404092,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,401900,S01,ATTIVITA' CLINICA,CINA' ANTONINO,01322630847,VIA GIOENI N. 30,Agrigento,084001,92100,antocina@tin.it,-,092222899,092222899,AMBULATORIO E LABORATORIO,0,0,-,2,N,1997,0,2018/01/02
190,Sicilia,Agrigento,201,402000,S01,ATTIVITA' CLINICA,CENTRO DERMATOLOGICO DOTTOR CARMELO SGARITO & C. S.A.S.,02622620843,VIA F. CRISPI N. 146,Agrigento,084001,92100,carmelosgarito@libero.it,-,0922479131,0922479610,AMBULATORIO E LABORATORIO,0,0,-,2,N,1997,0,2018/01/19
190,Sicilia,Agrigento,201,402200,S01,ATTIVITA' CLINICA,AMBULATORIO MEDICO DENTISTICO CARDILE E C. S.A.S.,02442600843,"CORSO COMMENDATORE CINQUEMANI ARCURI, N. 133",Cianciana,084015,92012,ambulatoriocardile@legamail.it,-,3208985092,0,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/09
190,Sicilia,Agrigento,201,402400,S01,ATTIVITA' CLINICA,SMILE CENTER S.N.C. DI ASARO SALVATORE DOMENICO,02229620840,VIA ROOSEVELT N. 50,Ravanusa,084031,92029,smilecenter2012@virgilio.it,-,0922881144,0922881144,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,402500,S01,ATTIVITA' CLINICA,STUDIO DENTISTICO DE LUCA DI MORREALE ANTONIO S.N.C.,02128780844,VIA CESARE BATTISTI N. 9,Agrigento,084001,92100,dott.antoniomorreale@hotmail.it,-,0922596311,0,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
190,Sicilia,Agrigento,201,402600,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,CENTRO RADIOLOGICO DI DIAGNOSTICA DI BARTOLO ZUCCARELLO V.& C S.N.C.,02202080848,VIA EMPEDOCLE N. 75,Agrigento,084001,92100,g.dibartolo@hotmail.it,-,092229882,092229882,AMBULATORIO E LABORATORIO,0,0,-,2,S,1997,0,2018/01/02
